drug_use_freq,grade,sex,bmi,race4,drunk_driving,text_driving,carrying_weapon,suicide_attempt,quit_smoke,physical_fight,early_sex,screening_use,heavy_screen_use,sleeping_time,enough_sleep,smoking_status,binge_drinking,seat_belt,grades_school,smoke_age,alcohol_age,age_initial_alcohol,age_initial_smoking
No Drug Use,12th Grade,female,20.5786,White,No,No,No,No,Never Smoke,No,No,1.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,17 years old or older,17.5,NA
No Drug Use,12th Grade,female,33.1251,White,No,No,No,No,Yes,No,Yes,0,No,8,Yes,Light Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,9 or 10 years old,15 or 16 years old,15.5,9.5
No Drug Use,12th Grade,female,23.6004,White,No,No,No,No,Never Smoke,No,No,1,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,17 years old or older,17.5,NA
Light Dose,12th Grade,female,25.6914,White,No,Yes,No,Yes,Never Smoke,No,No,2,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,17 years old or older,15 or 16 years old,15.5,17.5
Light Dose,12th Grade,female,20.0417,White,No,No,No,No,Yes,No,No,1,No,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,17 years old or older,17 years old or older,17.5,17.5
Heavy Dose,12th Grade,female,30.3623,White,Yes,Yes,No,No,Yes,No,Yes,6,Yes,6,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,15 or 16 years old,15 or 16 years old,15.5,15.5
No Drug Use,12th Grade,female,NA,White,No,Yes,No,No,Never Smoke,No,No,6,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,12th Grade,female,20.375,White,No,No,No,Yes,Never Smoke,No,No,0,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,17 years old or older,17.5,NA
No Drug Use,12th Grade,female,31.391,White,No,No,No,Yes,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,12th Grade,female,35.1592,Hispanic/Latino,No,No,No,No,Never Smoke,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,12th Grade,female,21.326,White,No,Yes,No,Yes,Never Smoke,No,No,0,No,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,15 or 16 years old,never,NA,15.5
Light Dose,12th Grade,female,18.0527,White,Yes,Yes,No,Yes,No,No,No,7,Yes,4,No,Light Smoker,Light Binge Drinking,Never or Rarely,Mostly C's,15 or 16 years old,15 or 16 years old,15.5,15.5
Light Dose,12th Grade,female,23.6996,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,Heavy Binge Drinking,Most of the time or Always,Mostly A's,never,15 or 16 years old,15.5,NA
No Drug Use,12th Grade,female,NA,White,No,No,No,No,Never Smoke,No,No,9,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,12th Grade,female,30.3623,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,12th Grade,female,23.8465,White,No,Yes,No,No,Yes,No,No,3,No,6,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,17 years old or older,15 or 16 years old,15.5,17.5
No Drug Use,12th Grade,female,18.1864,White,Yes,Yes,No,No,Never Smoke,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,12th Grade,female,29.0225,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,17 years old or older,17.5,NA
No Drug Use,12th Grade,female,22.6556,White,No,Yes,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,15 or 16 years old,15.5,NA
Heavy Dose,12th Grade,female,21.1903,White,No,Yes,No,Yes,Yes,No,No,0,No,6,No,Light Smoker,Light Binge Drinking,Most of the time or Always,Mostly Below C's,11 or 12 years old,11 or 12 years old,11.5,11.5
Heavy Dose,10th Grade,male,27.8465,Hispanic/Latino,No,No,No,Yes,Never Smoke,Yes,Yes,3.5,No,6,No,Never Smoker,Light Binge Drinking,Sometimes,Mostly C's,11 or 12 years old,15 or 16 years old,15.5,11.5
No Drug Use,9th Grade,male,18.3287,All other Races,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,9th Grade,male,19.179,Hispanic/Latino,No,No,No,No,No,Yes,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,35.8395,All other Races,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,22.5039,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,22.195,White,Yes,No,No,No,Never Smoke,No,No,8,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,never,never,NA,NA
No Drug Use,9th Grade,male,21.3706,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.3325,All other Races,No,Yes,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,25.0537,All other Races,No,Yes,No,No,Never Smoke,No,No,0.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,27.5917,All other Races,No,Yes,No,No,Never Smoke,Yes,No,4.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,30.3117,White,No,Yes,No,No,Never Smoke,No,No,8,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,8 years old or younger,8,NA
No Drug Use,9th Grade,male,26.5228,All other Races,No,Yes,No,No,Never Smoke,No,No,1,No,5,No,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly B's,never,11 or 12 years old,11.5,NA
Light Dose,9th Grade,male,18.1827,Black or African American,No,Yes,No,No,Never Smoke,No,No,1,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
Light Dose,9th Grade,male,21,All other Races,No,Yes,No,No,Yes,Yes,Yes,5,Yes,8,Yes,Never Smoker,Light Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,male,18.9012,White,Yes,Yes,No,Yes,Yes,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,8 years old or younger,8,11.5
No Drug Use,9th Grade,male,24.7872,White,No,No,No,No,Never Smoke,Yes,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.9012,White,No,Yes,No,No,Never Smoke,Yes,No,4,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,22.4012,All other Races,No,Yes,No,No,Never Smoke,No,No,1.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.3287,White,No,Yes,No,No,Never Smoke,No,No,7,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,19.1589,White,No,Yes,No,No,Never Smoke,No,No,1,No,10,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,22.195,Black or African American,No,No,No,No,Never Smoke,No,No,9,Yes,7,No,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,25.3359,White,No,Yes,No,No,Never Smoke,No,No,0,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,19.7669,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,33.1337,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,20.0893,All other Races,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,male,20.4048,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,29.2492,All other Races,No,Yes,No,No,Never Smoke,No,No,7,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
No Drug Use,9th Grade,male,22.4593,White,No,Yes,No,No,Never Smoke,Yes,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,34.358,All other Races,No,Yes,No,No,Never Smoke,No,No,10,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,25.2699,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.5143,White,No,No,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,24.5,All other Races,No,Yes,No,No,Never Smoke,No,No,3,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,26.9983,White,No,Yes,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21,White,No,Yes,No,No,Never Smoke,No,No,3,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,20.4618,All other Races,No,Yes,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.9038,White,No,Yes,No,No,Never Smoke,No,No,4,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,23.3242,White,No,No,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
Light Dose,9th Grade,male,19.0952,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,Yes,2,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,18.9584,White,No,Yes,No,No,Never Smoke,No,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,44.5185,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,0.5,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,8 years old or younger,8,NA
No Drug Use,9th Grade,male,19.6194,White,No,No,No,No,Never Smoke,No,No,5.5,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,20.4048,White,Yes,Yes,No,No,Never Smoke,No,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.1864,White,No,No,No,No,Never Smoke,No,Yes,0.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,never,never,NA,NA
No Drug Use,9th Grade,male,16.481,White,No,No,No,No,Never Smoke,No,No,5,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,28.1404,White,No,No,No,No,Never Smoke,No,No,6,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,39.2006,White,No,Yes,No,Yes,Never Smoke,No,No,3.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,38.5,All other Races,No,No,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,8 years old or younger,13 or 14 years old,13.5,8
No Drug Use,9th Grade,male,18.5143,Hispanic/Latino,No,No,No,No,Never Smoke,No,Yes,8,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,NA,All other Races,No,Yes,No,Yes,Never Smoke,No,No,3,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,21.51,All other Races,No,Yes,No,No,Never Smoke,No,No,0.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,19.8465,All other Races,No,Yes,No,No,Never Smoke,Yes,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,22.3476,White,No,Yes,No,Yes,Never Smoke,Yes,No,4.5,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,NA,All other Races,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,28.4452,All other Races,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,male,21.2169,White,No,Yes,No,No,Yes,Yes,No,6,Yes,5,No,Never Smoker,No Binge Drinking,Sometimes,Mostly C's,never,15 or 16 years old,15.5,NA
No Drug Use,9th Grade,male,23.6426,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,20.7197,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,20.7347,White,No,No,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,10th Grade,male,33.6447,White,No,No,No,No,Never Smoke,No,No,7,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,15 or 16 years old,15.5,NA
No Drug Use,10th Grade,male,21.329,White,No,No,No,No,Never Smoke,No,No,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,19.285,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,2,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,17.8805,White,No,Yes,No,No,Never Smoke,Yes,No,10,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,21.2169,All other Races,No,Yes,No,No,Never Smoke,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,25.7643,All other Races,No,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,10th Grade,male,19.3233,White,No,Yes,No,No,Never Smoke,No,No,4.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,18.5143,White,Yes,No,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,20.09,White,No,No,Yes,Yes,No,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,8 years old or younger,8,NA
No Drug Use,9th Grade,male,37.2238,All other Races,No,Yes,No,No,Never Smoke,No,No,1.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.4746,White,No,No,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,NA,White,No,Yes,No,No,Never Smoke,No,No,0.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,18.9012,White,No,No,No,No,Never Smoke,No,No,4,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.9889,White,No,No,No,No,Never Smoke,No,No,7,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,18.9012,All other Races,No,Yes,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,16.9414,All other Races,No,No,No,No,Never Smoke,No,No,2.5,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,14.6645,White,No,Yes,No,No,Never Smoke,Yes,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,11 or 12 years old,never,NA,11.5
Heavy Dose,9th Grade,male,19.2489,Hispanic/Latino,No,No,No,No,No,Yes,Yes,2.5,No,5,No,Light Smoker,No Binge Drinking,Sometimes,Mostly B's,11 or 12 years old,8 years old or younger,8,11.5
No Drug Use,9th Grade,male,19.321,White,No,Yes,No,No,Yes,No,No,3.5,No,7,No,Never Smoker,No Binge Drinking,Sometimes,Mostly Below C's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,9th Grade,male,23.0255,White,No,No,No,No,Never Smoke,No,No,3,No,5,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,23.9477,All other Races,No,Yes,No,No,Never Smoke,No,No,5,Yes,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,25.0537,White,No,Yes,Yes,No,Never Smoke,No,No,1,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,NA,Hispanic/Latino,No,Yes,No,Yes,Yes,No,No,1,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,9th Grade,male,20.4048,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,13 or 14 years old,11 or 12 years old,11.5,13.5
No Drug Use,9th Grade,male,19.3992,White,No,Yes,No,No,Never Smoke,Yes,No,3.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,9th Grade,male,21.6832,White,No,Yes,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,27.4671,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,2,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,22.082,Hispanic/Latino,Yes,Yes,No,No,Never Smoke,No,No,7,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.9815,White,No,Yes,No,No,Never Smoke,No,No,1.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,male,17.6083,All other Races,No,Yes,No,Yes,Yes,No,Yes,5,Yes,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,9 or 10 years old,9.5,NA
Light Dose,9th Grade,male,34.8592,White,Yes,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,17.8955,White,No,Yes,No,No,Never Smoke,No,No,4,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,male,21.0311,Hispanic/Latino,No,Yes,No,No,Yes,Yes,No,5,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,11 or 12 years old,11.5,NA
Light Dose,9th Grade,male,16.73,White,No,No,No,Yes,No,No,No,2,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,never,never,NA,NA
No Drug Use,9th Grade,male,26.9965,Hispanic/Latino,No,Yes,No,Yes,Never Smoke,No,No,5,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,never,never,NA,NA
No Drug Use,9th Grade,male,19.1589,White,Yes,No,No,No,Yes,No,No,4.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,29.8203,White,No,No,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,21.1903,White,No,No,No,No,Never Smoke,No,No,5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,19.2508,White,No,Yes,No,No,Never Smoke,Yes,No,2.5,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,13 or 14 years old,13.5,NA
No Drug Use,9th Grade,male,23.4923,All other Races,Yes,No,No,No,Never Smoke,Yes,No,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,15 or 16 years old,never,NA,15.5
No Drug Use,10th Grade,male,16.3687,Hispanic/Latino,No,Yes,No,No,Yes,No,No,5.5,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,15 or 16 years old,13 or 14 years old,13.5,15.5
No Drug Use,9th Grade,male,18.5553,White,No,Yes,No,No,Never Smoke,No,No,3,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,24.7051,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Not sure,never,never,NA,NA
No Drug Use,10th Grade,male,20.5711,White,No,Yes,No,No,Never Smoke,No,No,4,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
Light Dose,10th Grade,male,18.3633,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,Yes,1.5,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,13 or 14 years old,13 or 14 years old,13.5,13.5
No Drug Use,9th Grade,male,NA,Black or African American,No,Yes,No,No,Never Smoke,Yes,Yes,1,No,7,No,Never Smoker,No Binge Drinking,Sometimes,Not sure,never,never,NA,NA
No Drug Use,9th Grade,male,24.05,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,2,No,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,40.1863,All other Races,No,Yes,No,No,Never Smoke,No,Yes,3,No,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,9th Grade,male,19.6194,Black or African American,No,Yes,No,Yes,Never Smoke,No,No,5,Yes,4,No,Never Smoker,No Binge Drinking,Never or Rarely,Mostly A's,11 or 12 years old,11 or 12 years old,11.5,11.5
No Drug Use,10th Grade,male,16.3938,White,No,Yes,No,No,Never Smoke,No,No,10,Yes,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly Below C's,never,never,NA,NA
Heavy Dose,9th Grade,male,34.0086,White,Yes,Yes,No,Yes,Yes,Yes,Yes,6,Yes,6,No,Light Smoker,No Binge Drinking,Never or Rarely,Mostly Below C's,11 or 12 years old,13 or 14 years old,13.5,11.5
No Drug Use,9th Grade,male,25.7405,All other Races,No,Yes,No,No,Never Smoke,Yes,Yes,4.5,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
Light Dose,9th Grade,male,18.6119,White,No,Yes,No,Yes,Yes,No,Yes,10,Yes,7,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,9 or 10 years old,9 or 10 years old,9.5,9.5
No Drug Use,9th Grade,male,20.09,White,No,Yes,No,No,Never Smoke,No,No,2.5,No,8,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,18.8031,All other Races,No,Yes,No,No,Never Smoke,No,No,2,No,5,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,21.4198,All other Races,No,Yes,No,Yes,Never Smoke,No,No,0,No,4,No,Never Smoker,No Binge Drinking,Sometimes,Mostly A's,never,never,NA,NA
No Drug Use,10th Grade,male,NA,Hispanic/Latino,No,Yes,No,No,Never Smoke,No,No,10,Yes,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly C's,13 or 14 years old,never,NA,13.5
No Drug Use,9th Grade,male,25.2006,White,No,No,No,Yes,Never Smoke,Yes,No,4,No,4,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,never,never,NA,NA
No Drug Use,9th Grade,male,33.4965,White,Yes,Yes,No,Yes,Never Smoke,No,No,5,Yes,9,Yes,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly B's,9 or 10 years old,13 or 14 years old,13.5,9.5
No Drug Use,9th Grade,male,18.4807,All other Races,No,Yes,No,No,Never Smoke,No,No,3,No,6,No,Never Smoker,No Binge Drinking,Most of the time or Always,Mostly A's,never,never,NA,NA
